event_name,event_type,url,location_name,location_address,location_coord,short_description,session_times,subactivity_times,artist,require_booking,booking_detail
Beccy Cole | Vivid Sydney Supper Club,music,https://www.vividsydney.com/event/music/beccy-cole-vivid-sydney-supper-club,Mary's Underground,"7 Macquarie Place, Sydney NSW 2000","{""latitude"": ""-33.862370917725"", ""longitude"": ""151.20999990368""}","With special guests Hussy Hicks and Karlee Misi.
Round out your Light Walk experience with the ultimate nightcap at the Vivid Sydney Supper Club. From 9pm …","{""2023-06-16"": {""start_time"": ""21:00:00"", ""end_time"": ""01:00:00"", ""duration"": ""240.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Skin Deep,ideas,https://www.vividsydney.com/event/ideas/skin-deep,Vivid Ideas Exchange - Telstra Customer Insight Centre,"Level 2, 400 George Street, Sydney NSW 2000","{""latitude"": ""-33.8688799"", ""longitude"": ""151.2049436""}","As cosmetic surgery becomes the norm, what’s next? Join one of Australia’s leading plastic surgeons and a panel of experts for the beauty forecast you actually…","{""2023-06-13"": {""start_time"": ""18:30:00"", ""end_time"": ""19:45:00"", ""duration"": ""75.0""}}",NA,Jane Park,True,*Booking and transaction fees may apply.
HERE NOW,food,https://www.vividsydney.com/event/food/here-now,Macquarie Place Park,"36 Bridge Street, Sydney NSW 2000","{""latitude"": ""-33.8631038"", ""longitude"": ""151.2098719""}","HERE NOW is a day-to-night festival of abundance, smashing food and wine with music and art to celebrate our most important voices, artists and makers from the…","{""2023-06-11"": {""start_time"": ""15:00:00"", ""end_time"": ""21:00:00"", ""duration"": ""360.0""}}",NA,NA,True,*Booking and transaction fees may apply.
triple j celebrates 15 Years of Unearthed High,music,https://www.vividsydney.com/event/music/triple-j-celebrates-15-years-of-unearthed-high,Tumbalong Park,"11 Harbour St, Sydney NSW 2000","{""latitude"": ""-33.875367706309"", ""longitude"": ""151.20140473306""}","Can you believe it's been 15 years since the very first triple j Unearthed High, the station's nation-wide high school music competition?
To celebrate, they…","{""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""22:00:00"", ""duration"": ""240.0""}}","[{""name"": ""Acknowledgment of Country"", ""start_time"": ""18:00:00"", ""end_time"": ""18:10:00"", ""duration"": 10.0}, {""name"": ""Unearthed High Comp Winner"", ""start_time"": ""18:10:00"", ""end_time"": ""18:30:00"", ""duration"": 20.0}, {""name"": ""Triple J DJs"", ""start_time"": ""18:30:00"", ""end_time"": ""18:50:00"", ""duration"": 20.0}, {""name"": ""Jacotene"", ""start_time"": ""18:50:00"", ""end_time"": ""19:15:00"", ""duration"": 25.0}, {""name"": ""Triple J DJs"", ""start_time"": ""19:15:00"", ""end_time"": ""19:35:00"", ""duration"": 20.0}, {""name"": ""Arno Faraji"", ""start_time"": ""19:35:00"", ""end_time"": ""20:00:00"", ""duration"": 25.0}, {""name"": ""Triple J DJs"", ""start_time"": ""20:00:00"", ""end_time"": ""20:20:00"", ""duration"": 20.0}, {""name"": ""15 years of Unearthed High"", ""start_time"": ""20:20:00"", ""end_time"": ""20:30:00"", ""duration"": 10.0}, {""name"": ""Teen Jesus & the Jean Teasers"", ""start_time"": ""20:30:00"", ""end_time"": ""21:00:00"", ""duration"": 30.0}, {""name"": ""Triple J DJs"", ""start_time"": ""21:00:00"", ""end_time"": ""21:20:00"", ""duration"": 20.0}, {""name"": ""LASTLINGS"", ""start_time"": ""21:20:00"", ""end_time"": ""22:00:00"", ""duration"": 40.0}]",NA,False,NA
Hatchie + Egoism | Tumbalong Nights,music,https://www.vividsydney.com/event/music/hatchie-egoism-tumbalong-nights,Tumbalong Park,"11 Harbour St, Sydney NSW 2000","{""latitude"": ""-33.875367706309"", ""longitude"": ""151.20140473306""}","Be washed away in a shoegaze haze of big feelings and bigger hooks from two bands behind Australia's most pristine guitar-pop, Hatchie and EGOISM.
Hatchie…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""22:00:00"", ""duration"": ""240.0""}}",NA,NA,False,NA
Carriageworks Presents: The Warakirri Dining Experience,food,https://www.vividsydney.com/event/food/carriageworks-presents-the-warakirri-dining-experience,Carriageworks,"245 Wilson Street, Eveleigh NSW 2015","{""latitude"": ""-33.893341"", ""longitude"": ""151.191954""}","Carriageworks presents The Warakirri Dining Experience, an intimate evening of First Nations food coupled with after-hours exhibition access. Guests are…","{""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""22:00:00"", ""duration"": ""1680.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Inside Out,light,https://www.vividsydney.com/event/light/inside-out,Customs House,"31 Alfred Street, Sydney NSW 2000","{""latitude"": ""-33.862196"", ""longitude"": ""151.210853""}",A celebration of Australian interior design featuring beautiful hand-drawn wallpaper and fabrics projected onto the façade of Customs House – bringing the…,"{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Spinifex Group,False,NA
Cat Power Sings Dylan - The 1966 Royal Albert Hall Concert | Vivid LIVE,music,https://www.vividsydney.com/event/music/cat-power-sings-dylan-the-1966-royal-albert-hall-concert-vivid-live,Sydney Opera House - The Concert Hall,"Bennelong Point, Sydney NSW 2000","{""latitude"": ""-33.8567844"", ""longitude"": ""151.2152967""}","Across nearly 30 years of writing, recording and touring, Atlanta-born singer-songwriter Chan Marshall – aka Cat Power – has imbued folk, punk, blues and soul…","{""2023-05-31"": {""start_time"": ""20:00:00"", ""end_time"": ""22:00:00"", ""duration"": ""120.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Paulini | Vivid Sydney Supper Club,music,https://www.vividsydney.com/event/music/paulini-vivid-sydney-supper-club,Mary's Underground,"7 Macquarie Place, Sydney NSW 2000","{""latitude"": ""-33.862370917725"", ""longitude"": ""151.20999990368""}","With special guests Nikki Bennett and Danny Golding.
Round out your Light Walk experience with the ultimate nightcap at the Vivid Sydney Supper Club. From…","{""2023-06-02"": {""start_time"": ""21:00:00"", ""end_time"": ""01:00:00"", ""duration"": ""240.0""}}",NA,NA,True,*Booking and transaction fees may apply.
Biotechture,light,https://www.vividsydney.com/event/light/biotechture,ASN Clock Tower,"5 Hickson Road, The Rocks NSW 2000","{""latitude"": ""-33.8575025"", ""longitude"": ""151.2094602""}","Buildings aren't so different from bodies: humans are also architectural wonders, having evolved to improve over millennia. Our entire ecosystem, too, is…","{""2023-05-26"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-27"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-28"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-29"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-30"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-05-31"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-01"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-02"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-03"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-04"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-05"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-06"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-07"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-08"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-09"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-10"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-11"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-12"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-13"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-14"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-15"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-16"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}, ""2023-06-17"": {""start_time"": ""18:00:00"", ""end_time"": ""23:00:00"", ""duration"": ""300.0""}}",NA,Hotaru Visual Guerrilla,False,NA
